prefilter_rank	prefilter_score	donor_im	target_im	donor_domain	target_domain	cosine	primitive_jaccard	source_concept_jaccard	donor_primitive	target_primitive	donor_sources	target_sources	donor_shell	target_shell	donor_role	donor_guarantee	screen_reason
510	5.011692795130893	IM-206	IM-382	M	P	0.0	0.0	0.0	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	A CATALYST/MEDIATOR CAN PARTICIPATE CHEMICALLY, CHANGE STATE, AND THEN REGENERATE RATHER THAN REMAIN PASSIVE	M-125; M-126	P-848; P-849; P-850; P-851	M-125: Regularity assumptions; M-126: Summability structure	P-848:Redox catalyst | P-849:Reactive catalyst solid | P-850:Cyclic catalyst state | P-851:Reducible oxide	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
511	5.011692795130893	IM-225	IM-044	M	E;P	0.0	0.0	0.0	DEPENDENT SEQUENTIAL DATA CAN STILL HAVE SHARP DEVIATION GUARANTEES IF SURPRISES AND PREDICTABLE VARIANCE ARE CONTROLLED	SAME AGGREGATE AMOUNT ≠ SAME FUNCTIONAL STATE	M-311; M-313	P-780; E-738; E-916	M-311:Martingale difference structure | M-313:Martingale variance process	P-780:Strong evolving heterogeneity | E-738:Heterogeneous vintages | E-916:Heterogeneous banks	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
512	5.011692795130893	IM-225	IM-064	M	P	0.0	0.0	0.0	DEPENDENT SEQUENTIAL DATA CAN STILL HAVE SHARP DEVIATION GUARANTEES IF SURPRISES AND PREDICTABLE VARIANCE ARE CONTROLLED	ONE FAILURE REDISTRIBUTES LOAD → SURVIVORS CLOSER TO FAILURE → CASCADE	M-311; M-313	P-194; P-195	M-311:Martingale difference structure | M-313:Martingale variance process	P-194:Load-sharing rule | P-195:Interaction/load transfer	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
513	5.011692795130893	IM-225	IM-078	M	P	0.0	0.0	0.0	DEPENDENT SEQUENTIAL DATA CAN STILL HAVE SHARP DEVIATION GUARANTEES IF SURPRISES AND PREDICTABLE VARIANCE ARE CONTROLLED	STATE DETERIORATES → NEW CONSTRAINTS ACTIVATE → FREEDOM FALLS → FURTHER DETERIORATION	M-311; M-313	P-680; P-880	M-311:Martingale difference structure | M-313:Martingale variance process	P-680:Dense particulate system | P-880:Coupled degradation	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
514	5.011692795130893	IM-225	IM-091	M	S	0.0	0.0	0.0	DEPENDENT SEQUENTIAL DATA CAN STILL HAVE SHARP DEVIATION GUARANTEES IF SURPRISES AND PREDICTABLE VARIANCE ARE CONTROLLED	PATH-SPECIFIC EFFECT MAY BE UNIDENTIFIABLE BECAUSE AN INTERMEDIATE WOULD NEED INCOMPATIBLE STATES	M-311; M-313	S-652; S-653	M-311:Martingale difference structure | M-313:Martingale variance process	S-652:Causal DAG | S-653:Conflicting path assignments	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
515	5.011692795130893	IM-225	IM-171	M	P	0.0	0.0	0.0	DEPENDENT SEQUENTIAL DATA CAN STILL HAVE SHARP DEVIATION GUARANTEES IF SURPRISES AND PREDICTABLE VARIANCE ARE CONTROLLED	A LOCALLY CAPABLE SOURCE MAY FAIL TO PROPAGATE BECAUSE THE DOWNSTREAM SINK/LOAD IS TOO LARGE	M-311; M-313	P-473; P-999	M-311:Martingale difference structure | M-313:Martingale variance process	P-473: Excitation current balance; P-999: Geometry + finite coupling	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
516	5.011692795130893	IM-225	IM-197	M	P	0.0	0.0	0.0	DEPENDENT SEQUENTIAL DATA CAN STILL HAVE SHARP DEVIATION GUARANTEES IF SURPRISES AND PREDICTABLE VARIANCE ARE CONTROLLED	TRANSITION/DECAY RATE DEPENDS ON AVAILABLE FINAL STATES IN THE ENVIRONMENT, NOT ONLY ON THE SOURCE	M-311; M-313	P-269; P-270	M-311:Martingale difference structure | M-313:Martingale variance process	P-269: Structured environment; P-270: Density-of-states engineering	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
517	5.011692795130893	IM-225	IM-236	M	S	0.0	0.0	0.0	DEPENDENT SEQUENTIAL DATA CAN STILL HAVE SHARP DEVIATION GUARANTEES IF SURPRISES AND PREDICTABLE VARIANCE ARE CONTROLLED	ITERATIVE SELF-FEEDBACK CREATES CORRELATED RESIDUALS; ADD A CORRECTION THAT CANCELS MEMORY OF PREVIOUS ITERATION	M-311; M-313	S-911; S-912	M-311:Martingale difference structure | M-313:Martingale variance process	S-911:Random high-dimensional design | S-912:AMP	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
518	5.011692795130893	IM-225	IM-271	M	S	0.0	0.0	0.0	DEPENDENT SEQUENTIAL DATA CAN STILL HAVE SHARP DEVIATION GUARANTEES IF SURPRISES AND PREDICTABLE VARIANCE ARE CONTROLLED	RESIDUAL DEPENDENCE AFTER CONDITIONING ON LATENT STATE IS EVIDENCE THE STATE REPRESENTATION IS INCOMPLETE	M-311; M-313	S-332; S-855	M-311:Martingale difference structure | M-313:Martingale variance process	S-332:Latent-variable model | S-855:Violated local independence	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
519	5.011692795130893	IM-225	IM-284	M	P	0.0	0.0	0.0	DEPENDENT SEQUENTIAL DATA CAN STILL HAVE SHARP DEVIATION GUARANTEES IF SURPRISES AND PREDICTABLE VARIANCE ARE CONTROLLED	FAILURE OF LONG-RANGE PROPAGATION DOES NOT MEAN THE FIELD/INFLUENCE VANISHES LOCALLY	M-311; M-313	P-542	M-311:Martingale difference structure | M-313:Martingale variance process	P-542:Below-cutoff mode	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
520	5.011692795130893	IM-249	IM-044	M	E;P	0.0	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	SAME AGGREGATE AMOUNT ≠ SAME FUNCTIONAL STATE	M-655	P-780; E-738; E-916	M-655:Potential equivalence	P-780:Strong evolving heterogeneity | E-738:Heterogeneous vintages | E-916:Heterogeneous banks	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
521	5.011692795130893	IM-249	IM-051	M	P	0.0	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	CONTROL CHANGES FASTER THAN SYSTEM CAN RELAX → PROTOCOL SELECTS FINAL STATE	M-655	P-918	M-655:Potential equivalence	P-918:Finite relaxation time	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
522	5.011692795130893	IM-249	IM-062	M	P	0.0	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	BETTER/FAVORABLE STATE EXISTS ≠ SYSTEM CAN REACH IT	M-655	P-729; P-733	M-655:Potential equivalence	P-729:Excitation spectrum | P-733:Metastability	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
523	5.011692795130893	IM-249	IM-064	M	P	0.0	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	ONE FAILURE REDISTRIBUTES LOAD → SURVIVORS CLOSER TO FAILURE → CASCADE	M-655	P-194; P-195	M-655:Potential equivalence	P-194:Load-sharing rule | P-195:Interaction/load transfer	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
524	5.011692795130893	IM-249	IM-078	M	P	0.0	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	STATE DETERIORATES → NEW CONSTRAINTS ACTIVATE → FREEDOM FALLS → FURTHER DETERIORATION	M-655	P-680; P-880	M-655:Potential equivalence	P-680:Dense particulate system | P-880:Coupled degradation	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
525	5.011692795130893	IM-249	IM-097	M	E	0.0	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	MORE INPUT/CAPACITY/FEWER CONSTRAINTS CAN MAKE GLOBAL OUTCOME WORSE	M-655	E-108; E-127; E-206	M-655:Potential equivalence	E-108:Multiple interacting wedges | E-127:Noncooperative routing | E-206:Elastic demand/general equilibrium	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
526	5.011692795130893	IM-249	IM-101	M	E	0.0	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	SAME OBJECT CAN AUTOMATICALLY CHANGE ROLE WHEN STATE CROSSES TRIGGER	M-655	E-718; E-775	M-655:Potential equivalence	E-718:Contractual trigger | E-775:Verifiable performance	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
527	5.011692795130893	IM-249	IM-136	M	E;P	0.0	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	THE INTERACTION GRAPH ITSELF IS A STATE VARIABLE	M-655	E-147; E-520; P-675	M-655:Potential equivalence	E-147:Strategic links | E-520:Search/switching costs | P-675:Dense frictional particles	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
528	5.011692795130893	IM-249	IM-139	M	P	0.0	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	CONSERVATION LAWS DEFINE THE MANIFOLD OF POSSIBLE STATES BEFORE DYNAMICS ARE FIT	M-655	P-442; P-443	M-655:Potential equivalence	P-442:Reaction network | P-443:Conservation constraints	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
529	5.011692795130893	IM-249	IM-190	M	S	0.0	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	WHEN YOU CHOOSE TO LOOK CAN ITSELF REVEAL INFORMATION ABOUT THE HIDDEN STATE	M-655	S-874; S-875	M-655:Potential equivalence	S-874: Irregular follow-up; S-875: Inspection process	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
530	5.011692795130893	IM-249	IM-210	M	S	0.0	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	FUTURE DATA CAN CHANGE YOUR BEST ESTIMATE OF THE PAST; ONLINE AND OFFLINE STATE ESTIMATES ARE DIFFERENT	M-655	S-106; S-107	M-655:Potential equivalence	S-106: Offline/two-sided information; S-107: Delay/latency tradeoff	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
531	5.011692795130893	IM-249	IM-211	M	S	0.0	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	DON'T COMMIT TO ONE DYNAMICAL MODEL TOO EARLY; CARRY A MODEL BANK AND UPDATE MODEL PROBABILITIES	M-655	S-110	M-655:Potential equivalence	S-110: Finite model bank	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
532	5.011692795130893	IM-249	IM-222	M	P	0.0	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	RECOVERY TIME CAN DIVERGE BEFORE THE STATE ITSELF VISIBLY COLLAPSES	M-655	P-119; P-120	M-655:Potential equivalence	P-119:Near bifurcation/criticality | P-120:Specific transition classes	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
533	5.011692795130893	IM-249	IM-237	M	S	0.0	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	A HUGE COUPLED ESTIMATION ALGORITHM CAN HAVE LOW-DIMENSIONAL ERROR DYNAMICS IN THE RIGHT RANDOM REGIME	M-655	S-913	M-655:Potential equivalence	S-913:AMP asymptotics	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
534	5.011692795130893	IM-249	IM-271	M	S	0.0	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	RESIDUAL DEPENDENCE AFTER CONDITIONING ON LATENT STATE IS EVIDENCE THE STATE REPRESENTATION IS INCOMPLETE	M-655	S-332; S-855	M-655:Potential equivalence	S-332:Latent-variable model | S-855:Violated local independence	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
535	5.011692795130893	IM-249	IM-282	M	E	0.0	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	NOMINAL COMMITMENTS CAN EXCEED PHYSICAL CAPACITY WHEN ONLY A RANDOM SUBSET MATERIALIZES — AT COST OF OVERFLOW RISK	M-655	E-465; E-466	M-655:Potential equivalence	E-465:No-show uncertainty | E-466:Random show-up	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
536	5.011692795130893	IM-249	IM-284	M	P	0.0	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	FAILURE OF LONG-RANGE PROPAGATION DOES NOT MEAN THE FIELD/INFLUENCE VANISHES LOCALLY	M-655	P-542	M-655:Potential equivalence	P-542:Below-cutoff mode	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
537	5.011692795130893	IM-249	IM-292	M	P	0.0	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	ELIMINATING HIDDEN DYNAMIC VARIABLES CAN TURN A MARKOV/LOCAL SYSTEM INTO MEMORY + COLORED NOISE	M-655	P-105; P-106; P-107	M-655:Potential equivalence	P-105:Projection formalism | P-106:Chosen relevant subspace | P-107:Exact projected dynamics	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
538	5.011692795130893	IM-249	IM-305	M	P	0.0	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	COST OF MAINTAINING A NONEQUILIBRIUM STATE AND COST OF MOVING BETWEEN STATES ARE DIFFERENT ACCOUNTS	M-655	P-128; P-129	M-655:Potential equivalence	P-128:NESS transitions | P-129:Driven steady state	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
539	5.011692795130893	IM-249	IM-339	M	S	0.0	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	A SCORE CAN MAKE HONEST PROBABILITY REPORTING OPTIMAL	M-655	S-159	M-655:Potential equivalence	S-159:Probabilistic forecasts	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
540	5.011692795130893	IM-249	IM-348	M	S	0.0	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	A COUNTERFACTUAL TRAJECTORY CAN BE CONSTRUCTED AS A WEIGHTED MIXTURE OF MANY IMPERFECT DONOR UNITS	M-655	S-066	M-655:Potential equivalence	S-066:Pre-treatment comparability	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
541	5.011692795130893	IM-249	IM-359	M	E	0.0	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	CONTROL THE INFORMATION STRUCTURE RATHER THAN THE STATE TO CHANGE ANOTHER DECISION-MAKER'S ACTION	M-655	E-401	M-655:Potential equivalence	E-401:Sender commitment to information structure	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
542	5.011692795130893	IM-249	IM-376	M	P	0.0	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	LOCALLY STABLE REACTION DYNAMICS CAN BECOME SPATIALLY UNSTABLE SOLELY BECAUSE COMPONENTS DIFFUSE AT DIFFERENT RATES	M-655	P-090	M-655:Potential equivalence	P-090:Reaction-diffusion coupling	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
543	5.011692795130893	IM-249	IM-381	M	P	0.0	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	A PROPAGATING EXCITATION CAN BECOME SELF-SUSTAINING ON A LOOP IF RETURN TIME EXCEEDS LOCAL RECOVERY TIME	M-655	P-984; P-985; P-994; P-1000	M-655:Potential equivalence	P-984:Recovery variable | P-985:Fast–slow system | P-994:Recovery + closed path | P-1000:State-dependent connectivity	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
544	5.011692795130893	IM-249	IM-382	M	P	0.0	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	A CATALYST/MEDIATOR CAN PARTICIPATE CHEMICALLY, CHANGE STATE, AND THEN REGENERATE RATHER THAN REMAIN PASSIVE	M-655	P-848; P-849; P-850; P-851	M-655:Potential equivalence	P-848:Redox catalyst | P-849:Reactive catalyst solid | P-850:Cyclic catalyst state | P-851:Reducible oxide	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
545	5.011692795130893	IM-311	IM-004	S	P	0.0	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	FLOW RESHAPES ITS FUTURE CONDUIT	S-174	P-764; P-765; P-876; P-877; P-967; P-980	S-174:Rare/weak regime	P-764:Dissolution + advection | P-765:Unstable reactive infiltration | P-876:Nonuniform electrodeposition | P-877:Metal plating | P-967:Filamentary switch | P-980:Repeated cycling	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
546	5.011692795130893	IM-311	IM-043	S	M;P	0.0	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	STATIONARY MACRO STATE ≠ ZERO INTERNAL FLOW	S-174	P-122; P-123; P-457; M-498	S-174:Rare/weak regime	P-122:Nonequilibrium steady state | P-123:Open driven system | P-457:Broken detailed balance | M-498:Oriented graph/complex	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
547	5.011692795130893	IM-311	IM-044	S	E;P	0.0	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	SAME AGGREGATE AMOUNT ≠ SAME FUNCTIONAL STATE	S-174	P-780; E-738; E-916	S-174:Rare/weak regime	P-780:Strong evolving heterogeneity | E-738:Heterogeneous vintages | E-916:Heterogeneous banks	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
548	5.011692795130893	IM-311	IM-064	S	P	0.0	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	ONE FAILURE REDISTRIBUTES LOAD → SURVIVORS CLOSER TO FAILURE → CASCADE	S-174	P-194; P-195	S-174:Rare/weak regime	P-194:Load-sharing rule | P-195:Interaction/load transfer	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
549	5.011692795130893	IM-311	IM-088	S	P	0.0	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	BOUNDARY IS NOT FIXED; STATE INCLUDES WHERE BOUNDARY IS	S-174	P-355	S-174:Rare/weak regime	P-355:Moving phase boundary	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
550	5.011692795130893	IM-311	IM-136	S	E;P	0.0	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	THE INTERACTION GRAPH ITSELF IS A STATE VARIABLE	S-174	E-147; E-520; P-675	S-174:Rare/weak regime	E-147:Strategic links | E-520:Search/switching costs | P-675:Dense frictional particles	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
551	5.011692795130893	IM-311	IM-158	S	M;P	0.0	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	ABSORPTION CHANGES THE STATE SPACE: AFTER ENTRY, ORDINARY RETURN/ERGODIC LOGIC NO LONGER APPLIES	S-174	M-148; P-141	S-174:Rare/weak regime	M-148:Absorbing dynamics | P-141:Local birth-death	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
552	5.011692795130893	IM-311	IM-171	S	P	0.0	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	A LOCALLY CAPABLE SOURCE MAY FAIL TO PROPAGATE BECAUSE THE DOWNSTREAM SINK/LOAD IS TOO LARGE	S-174	P-473; P-999	S-174:Rare/weak regime	P-473: Excitation current balance; P-999: Geometry + finite coupling	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
553	5.011692795130893	IM-311	IM-177	S	M	0.0	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	BEING ABLE TO SEE A STATE DIRECTION AND BEING ABLE TO CONTROL IT ARE INDEPENDENT QUESTIONS	S-174	M-421; M-422; M-427	S-174:Rare/weak regime	M-421: Linear dynamics; M-422: Linear observation system; M-427: Linear systems	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
554	5.011692795130893	IM-311	IM-202	S	M;P	0.0	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	FAST LOCAL MIXING + SLOW INTER-BASIN JUMPS → HIERARCHICAL METASTABLE STATE	S-174	M-146; P-019	S-174:Rare/weak regime	M-146: Timescale separation; P-019: Energy/free-energy barrier	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
555	5.011692795130893	IM-311	IM-218	S	M	0.0	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	REPLACE A DETERMINISTIC EVOLUTION EQUATION BY AN EXPECTATION OVER RANDOM PATHS	S-174	M-114	S-174:Rare/weak regime	M-114: Generator/PDE compatibility	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
556	5.011692795130893	IM-311	IM-220	S	P	0.0	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	INFER AN EQUILIBRIUM STATE DIFFERENCE FROM NONEQUILIBRIUM DRIVEN TRAJECTORIES	S-174	P-126; P-127	S-174:Rare/weak regime	P-126: Initial equilibrium; P-127: Microscopic reversibility	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
557	5.011692795130893	IM-311	IM-227	S	M	0.0	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	ORDINARY CLOCK TIME AND ACCUMULATED CONTACT/VISIT TIME AT A BOUNDARY ARE DIFFERENT STATE VARIABLES	S-174	M-317	S-174:Rare/weak regime	M-317:Continuous semimartingale	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
558	5.011692795130893	IM-311	IM-247	S	M	0.0	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	BOUNDARY INFLUENCE IS SET BY DYNAMICAL/GEOMETRIC ACCESSIBILITY, NOT RAW BOUNDARY SIZE	S-174	M-645; M-648	S-174:Rare/weak regime	M-645:Domain geometry | M-648:Fine boundary geometry	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
