id	domain	source_concept	primitive	constraint_shell
E-513	Economics / Econometrics	Input substitution elasticity	Bir input pahalı/eksik olduğunda production başka input composition’a ne kadar kayabilir?	Technology
E-514	Economics / Econometrics	Bottleneck-input mechanism	Çok input bol olsa bile tek indispensable input eksikse total production onun availability’siyle sınırlanır	Strong complementarity
E-515	Economics / Econometrics	Granular origin of aggregate fluctuations	Çok büyük/central individual firms varsa idiosyncratic firm shocks averaging-out olmak yerine aggregate economy’de görünür kalabilir	Fat-tailed firm size/network influence
E-516	Economics / Econometrics	Network-centrality amplification	Aynı-size iki firmden daha upstream/central olanın shock’u daha fazla downstream paths’e ulaşabilir	Network position
E-517	Economics / Econometrics	Trade-credit propagation	Supplier customer’a ödeme zamanı tanır; customer distress’i unpaid receivable üzerinden supplier balance sheet’ine geri taşınır	Interfirm credit
E-518	Economics / Econometrics	Working-capital amplification	Firm input için bugün cash ödeyip output’tan daha sonra cash alıyorsa liquidity loss production capacity’yi düşürür	Financing gap
E-519	Economics / Econometrics	Shortage rationing	Supply herkese yetmiyorsa allocation rule kimin production’ının duracağını ve shock’un hangi paths’ten yayılacağını belirler	Scarce intermediate input
E-520	Economics / Econometrics	Endogenous network rewiring	Shock sonrası firms supplier/customer links’ini değiştirerek network topology’sini kendisi dönüştürür	Search/switching costs
E-521	Economics / Econometrics	Taste-based discrimination	Employer/coworker/customer belirli worker type ile interaction’a subjective extra cost koyar	Preference-based discrimination
E-522	Economics / Econometrics	Statistical discrimination	Individual productivity tam bilinmiyorsa employer group-level information’ı individual hakkında proxy olarak kullanır	Imperfect information
E-523	Economics / Econometrics	Employer learning	Worker hakkında başlangıçta noisy signal kullan; zamanla actual performance observations geldikçe belief’i güncelle	Repeated employment
E-524	Economics / Econometrics	Credential-weight decay	Early career’da observable credential güçlü proxy olabilir; direct productivity evidence geldikçe credential weight azalabilir	Employer learning
E-525	Economics / Econometrics	Public employer learning	Bir employer’ın öğrendiği productivity information marketteki diğer employers’a da görünür hale gelir	Portable/public performance signal
E-526	Economics / Econometrics	Private employer learning	Current employer worker hakkında outsiders’dan daha fazla bilgi biriktirir	Asymmetric employer information
E-527	Economics / Econometrics	Wage compression under private information	Outside firms worker quality’yi tam ayıramazsa very productive worker’ın outside offer’ı true productivity kadar hızlı yükselmeyebilir	Private learning
E-528	Economics / Econometrics	Statistical-discrimination feedback	Group hakkında pessimistic belief → daha az opportunity/investment → daha az observed performance → initial belief’in persist etmesi	Endogenous human-capital response
E-529	Economics / Econometrics	Occupational sorting	Workers productivity kadar preferences/amenities ve comparative advantage nedeniyle different occupations’a self-select eder	Heterogeneous workers/jobs
E-530	Economics / Econometrics	Compensating wage differential	Daha kötü/risky job amenity kabul ettirmek için wage’nin daha yüksek olması gerekebilir	Worker amenity preferences
E-531	Economics / Econometrics	Hedonic wage equilibrium	Job bundles wage + risk + flexibility + location gibi attributes kombinasyonları olarak price edilir	Worker–firm sorting
E-532	Economics / Econometrics	Risk–wage tradeoff	Greater workplace risk, workers riskten kaçınıyorsa equilibrium’da higher pay gerektirebilir	Risk perception/market equilibrium
E-533	Economics / Econometrics	Amenity capitalization into wages	Better nonwage amenity worker için değerliyse firms daha düşük monetary wage ile recruit edebilir	Competitive sorting
E-534	Economics / Econometrics	Employer-provided training investment	Firm bugün worker productivity’ye yatırım yapar; benefit future employment relation devam ederse geri kazanılır	Training + retention
E-535	Economics / Econometrics	General training problem	Skill başka firms’de de değerliyse worker ayrılabilir; investing firm return’ü capture edemeyebilir	Transferable human capital
E-536	Economics / Econometrics	Firm-specific human capital	Skill current match içinde daha değerliyse separation iki taraf için productive capital destruction yaratır	Match specificity
E-537	Economics / Econometrics	Noncompete retention mechanism	Worker’ın competitors’a geçiş option’ını sınırlayarak firm-specific investment appropriation’ını artırabilir ama mobility’yi düşürür	Enforceable mobility restriction
E-538	Economics / Econometrics	Wage-posting dispersion	Similar workers identical-looking jobs’da bile search frictions yüzünden different posted wages görebilir	Imperfect job search
E-539	Economics / Econometrics	Monopsony wage markdown	Worker outside options’a kolay geçemiyorsa employer marginal productivity’nin altında wage ödeyebilir	Upward-sloping labor supply to firm
E-540	Economics / Econometrics	Quit-elasticity discipline	Wage düşürdüğünde workers hızla ayrılıyorsa employer wage-setting power zayıf; ayrılmıyorsa power güçlenir	Mobility/search frictions
E-541	Economics / Econometrics	Mortgage amortization	Fixed payment’ın composition’ı zamanla interest-heavy’den principal-heavy’ye kayar	Long-term installment debt
E-542	Economics / Econometrics	Mortgage prepayment option	Borrower scheduled maturity’yi beklemeden debt’i par’dan kapatabilir	Callable-by-borrower debt
E-543	Economics / Econometrics	Refinancing option	Market borrowing rate sufficiently düşünce old mortgage’u kapatıp yeni cheaper loan açmak değerli hale gelir	Transaction/refinancing costs
E-544	Economics / Econometrics	Refinancing threshold	Rate biraz düştü diye hemen refinance etme; fixed cost nedeniyle gain belirli threshold’u aşmalı	Option exercise cost
E-545	Economics / Econometrics	Mortgage rate lock-in	Existing mortgage rate market rate’den çok düşükse house değiştirmek/refinance etmek valuable cheap debt’i kaybettirir	Nonportable mortgage
E-546	Economics / Econometrics	Prepayment burnout	Refinance incentive’e en responsive borrowers erken çıkınca remaining pool giderek daha inert hale gelir	Borrower heterogeneity
E-547	Economics / Econometrics	Negative convexity	Rates düşünce borrowers prepay edip upside duration’ı kısaltır; rates yükselince prepayment düşüp downside duration uzar	Embedded borrower option
E-548	Economics / Econometrics	Extension risk	Rates yükselince expected mortgage maturity uzar çünkü borrowers düşük-rate debt’i kapatmaz	Fixed-rate mortgage
E-549	Economics / Econometrics	Contraction risk	Rates düşünce refinancing/prepayment hızlanır ve expected maturity kısalır	Prepayable mortgage
E-550	Economics / Econometrics	Negative equity	Mortgage balance house value’yu aşarsa selling/refinancing option set’i daralır	Collateralized debt
E-551	Economics / Econometrics	Double-trigger mortgage default	Negative equity tek başına yeterli olmayabilir; income/job shock ile birleşince default probability keskin artar	Household liquidity + collateral
E-552	Economics / Econometrics	Strategic mortgage default	Borrower ödeme kapasitesi olsa bile sufficiently deep negative equity altında walk-away option’ını kullanabilir	Recourse/default costs
E-553	Economics / Econometrics	Foreclosure externality	Foreclosed property nearby prices/neighborhood condition üzerinden başkalarının collateral values’ını da azaltabilir	Spatial housing market
E-554	Economics / Econometrics	Mortgage insurance	Low borrower equity’den doğan lender credit riskinin bir kısmını insurer’a aktar	Insurable mortgage loss
E-555	Economics / Econometrics	Mortgage securitization	Birçok mortgages’i pool edip loan cash flows’u tradable securities’e dönüştür	Pooling + legal transfer
E-556	Economics / Econometrics	Mortgage pass-through	Underlying principal/interest/prepayments security holders’a approximately pro rata akar	Pooled mortgages
E-557	Economics / Econometrics	Prepayment-risk redistribution	Same mortgage pool cash flows’unu different claims’e ayırarak some investors’a more/less prepayment exposure ver	Structured MBS
E-558	Economics / Econometrics	Interest-only strip	Mortgage pool’dan mainly interest cash flows alan claim prepayment hızlanınca future interest kaybeder	Structured MBS
E-559	Economics / Econometrics	Principal-only strip	Mainly principal cash flows alan claim early prepayment’dan farklı biçimde faydalanabilir	Structured MBS
E-560	Economics / Econometrics	Servicing-right duration mechanism	Servicer future fee stream’i loan outstanding kaldığı sürece alır; prepayment/default hızlanınca servicing asset’in expected life/value’si düşer	Mortgage servicing
E-561	Economics / Econometrics	Risk-weighted capital requirement	Bank assets’i estimated risk’e göre weight et; riskier portfolio için daha fazla loss-absorbing equity iste	Regulatory risk weights
E-562	Economics / Econometrics	Leverage-ratio backstop	Risk modeline bakmaksızın gross exposure başına minimum capital koy	Model-independent balance-sheet constraint
E-563	Economics / Econometrics	Capital conservation buffer	Minimum capital’ın üstünde extra cushion tut; cushion erirse dividends/buybacks gibi distributions kısıtlansın	Bank capital
E-564	Economics / Econometrics	Countercyclical capital buffer	System-wide credit/risk build-up döneminde extra capital biriktir; stress geldiğinde buffer serbest bırakılabilir	Macroprudential cycle
E-565	Economics / Econometrics	Systemic-risk surcharge	Failure’ı daha büyük system-wide damage üretecek institution’a daha fazla loss-absorption requirement koy	Systemic importance
E-566	Economics / Econometrics	Liquidity Coverage Ratio	Short stress horizon’da expected cash outflows’u karşılayacak yeterli high-quality liquid asset tut	30-day liquidity stress
E-567	Economics / Econometrics	Net Stable Funding Ratio	Uzun-lived assets’i çok kısa/unstable funding ile finanse etme; funding maturity’yi asset structure’a yaklaştır	Structural funding
E-568	Economics / Econometrics	Large-exposure limit	Tek counterparty’ye exposure aşırı büyümesin; one-name failure bank capital’ını yıkmasın	Concentration constraint
E-569	Economics / Econometrics	Regulatory stress test	Normal-time balance sheet’i severe hypothetical scenarios’dan geçir; losses sonrası capital yeterli mi bak	Scenario-dependent resilience
E-570	Economics / Econometrics	Pillar-2 capital add-on	Standard formula’nın yakalayamadığı institution-specific risks için supervisor extra requirement koy	Supervisory judgment
E-571	Economics / Econometrics	Risk-weight arbitrage	Economic risk aynı kalırken assets’i lower regulatory weight alan form/category’ye taşı	Rule-sensitive balance sheet
E-572	Economics / Econometrics	Internal-model gaming	Regulatory constraint model output’una bağlıysa institution reported/measured risk’i azaltacak modeling choices seçebilir	Endogenous risk measurement
E-573	Economics / Econometrics	Regulatory perimeter migration	Strictly regulated activity economic function’ı değiştirmeden less-regulated entity/channel’a taşınabilir	Uneven regulation
E-574	Economics / Econometrics	Shadow-banking maturity transformation	Bank dışı intermediary short/redeemable claims verip less-liquid assets hold ederek bank-benzeri run exposure yaratabilir	Nonbank finance
E-575	Economics / Econometrics	First-mover advantage in open-ended funds	Early redeemer liquidation cost’unun tamamını taşımıyorsa diğer investors’dan önce çıkma incentive’ı doğar	Redeemable pooled assets
E-576	Economics / Econometrics	Swing pricing	Large redemption/subscription’ın transaction/liquidity cost’unu fund NAV adjustment ile işlem yapan investors’a yükle	Open-ended funds
E-577	Economics / Econometrics	Redemption gate	Extreme outflow sırasında withdrawals’ı geçici sınırla; forced-sale spiral’ı kesmeye çalış	Contractual redemption restriction
E-578	Economics / Econometrics	Bail-in	Failed bank losses’ını taxpayer bailout yerine specified creditors’ claims’ini write-down/equity conversion ile absorb ettir	Resolution hierarchy
E-579	Economics / Econometrics	TLAC/MREL loss-absorbing debt	Normal zamanda debt gibi duran ama resolution’da equity/write-down’a çevrilebilecek prepositioned claims tut	Resolvable bank structure
E-580	Economics / Econometrics	Bridge-bank mechanism	Critical functions’ı failed legal entity’de bırakma; temporarily solvent operational vehicle’a transfer edip service continuity koru	Bank resolution
E-581	Economics / Econometrics	Calvo price adjustment	Her period yalnız random subset firms price değiştirme şansı bulur	Time-dependent nominal rigidity
E-582	Economics / Econometrics	Taylor staggered contracts	Prices/wages preset contract intervals’ında farklı cohorts tarafından farklı zamanlarda reset edilir	Deterministic staggering
E-583	Economics / Econometrics	Time-dependent pricing	Price adjustment zamanı current economic state’e değil takvime bağlıdır	Exogenous adjustment clock
E-584	Economics / Econometrics	State-dependent pricing	Price gap sufficiently costly hale geldiğinde firm adjustment yapar	Endogenous adjustment timing
E-585	Economics / Econometrics	Selection effect in repricing	Shock sonrası average price change yalnız her changer’ın amount’ından değil özellikle en yanlış-priced firms’in adjustment’a seçilmesinden gelir	State-dependent selection
E-586	Economics / Econometrics	Extensive margin of price adjustment	Aggregate adjustment’ın ne kadarı “kaç firma price değiştirdi?” üzerinden geliyor?	Adjustment frequency
E-587	Economics / Econometrics	Intensive margin of price adjustment	Price değiştiren firms ne kadar büyük change yapıyor?	Adjustment size
E-588	Economics / Econometrics	Reference-price rigidity	Weekly transaction prices sık oynasa bile underlying commonly used/reference price çok daha seyrek değişebilir	Sales/reference distinction
E-589	Economics / Econometrics	Temporary-sales mechanism	Observed price kısa süre düşüp geri dönebilir; bunu persistent reset ile aynı sayma	Transitory promotions
E-590	Economics / Econometrics	Strategic complementarity in pricing	Rakiplerin prices’i yavaş değişiyorsa benim desired price adjustment’ım da küçülebilir	Interdependent markups/demand
E-591	Economics / Econometrics	Real rigidity	Nominal adjustment mümkün olsa bile relative-price/markup incentives desired real adjustment’ı küçük tutar	Strategic/compositional incentives
E-592	Economics / Econometrics	Sticky-information pricing	Firm price değiştirebilir ama current macro information’ı her period güncellemez	Infrequent information updating
E-593	Economics / Econometrics	Inattentive repricing	Physical price-change cost değil information acquisition/processing friction adjustment’ı geciktirir	Limited attention
E-594	Economics / Econometrics	Monetary non-neutrality from nominal rigidity	Nominal spending değişir ama prices/wages hemen uyum sağlamazsa quantities/output kısa vadede hareket eder	Sticky nominal contracts
E-595	Economics / Econometrics	New-Keynesian Phillips mechanism	Current inflation, real marginal pressure ve expected future inflation’ın joint result’ı olur	Forward-looking staggered pricing
E-596	Economics / Econometrics	Expectation channel of price setting	Firm yalnız current cost’a değil future desired prices/costs hakkında expectation’a göre bugünkü reset price’ı seçer	Forward-looking contracts
E-597	Economics / Econometrics	Unexpected-inflation debt redistribution	Nominal debt önceden fixed ise unanticipated inflation real repayment burden’ını borrower’dan creditor’a doğru değiştirir	Nominal contracts
E-598	Economics / Econometrics	Monetary-policy cash-flow channel	Interest-rate change borrowing cost veya asset income’ı değiştirip current spendable cash flow’u etkiler	Interest-sensitive balance sheets
E-599	Economics / Econometrics	Floating-rate repricing channel	Policy rates değişince floating-rate debt payments kısa sürede reset olur	Variable-rate contracts
E-600	Economics / Econometrics	Fixed-rate insulation/delayed-transmission channel	Existing fixed-rate borrowers immediate rate shock’tan korunur; transmission mainly refinancing/new borrowing zamanı gelir	Fixed-rate debt maturity
E-601	Economics / Econometrics	Alonso monocentric-city equilibrium	Jobs center’da; household distance seçerken cheap land ile expensive commuting arasında trade-off yapar	Single employment center
E-602	Economics / Econometrics	Urban land-rent gradient	Center’a yaklaştıkça commute saving büyüdüğü için land için willingness-to-pay yükselir	Commuting cost
E-603	Economics / Econometrics	Endogenous city fringe	Land rent urban use value’dan agricultural/outside value’ya düştüğü yerde city biter	Alternative land use
E-604	Economics / Econometrics	Urban density gradient	Expensive central land households/developers’ı land’i daha intensive kullanmaya iter	Housing/land substitution
E-605	Economics / Econometrics	Housing capital–land substitution	Land pahalı olduğunda aynı housing service’i daha fazla structure/capital ve daha az land ile üret	Housing production technology
E-606	Economics / Econometrics	Building-height response	Central land value yükseldiğinde vertical construction ekonomik hale gelebilir	Construction technology
E-607	Economics / Econometrics	Transport-cost city expansion	Commuting cheaper hale gelirse farther locations feasible olur ve city spatially genişleyebilir	Transport technology
E-608	Economics / Econometrics	Urban decentralization	Transport/communication friction düşünce employment/residence center’dan dışarı kayabilir	Falling spatial friction
E-609	Economics / Econometrics	Endogenous subcenter formation	Peripheral activity enough scale kazanınca yalnız CBD’ye bağlı olmayan secondary employment center oluşabilir	Agglomeration vs commuting
E-610	Economics / Econometrics	Polycentric equilibrium	Birkaç employment center land rents ve commute flows’u birlikte şekillendirir	Multiple centers
E-611	Economics / Econometrics	Spatial equilibrium utility equalization	Mobile households different locations’da rent, wage, amenity ve commuting differences sonrası aynı utility’ye doğru arbitrage eder	Mobility
E-612	Economics / Econometrics	Local productivity capitalization	Daha productive location’ın benefit’i yalnız wage’de kalmayıp land/rent prices’a da geçebilir	Limited land supply
E-613	Economics / Econometrics	Local amenity–migration adjustment	Amenity iyileşir → migration gelir → rent yükselir → direct utility gain’in bir kısmı land value’ya gider	Mobile residents
E-614	Economics / Econometrics	Housing filtering	Housing stock yaşlandıkça relative quality/value düşer ve different income groups’a geçebilir	Durable housing
E-615	Economics / Econometrics	Housing-stock durability	Demand düşse bile buildings anında yok olmaz; quantity adjustment downward yavaş olur	Durable capital
E-616	Economics / Econometrics	Construction lag	Housing demand yükselse de new supply planning/building delay nedeniyle hemen yetişmez	Time-to-build
E-617	Economics / Econometrics	Redevelopment option	Existing low-intensity building’i bugün yıkmak yerine future land value yeterince yükselene kadar beklemek optimal olabilir	Irreversible rebuilding
E-618	Economics / Econometrics	Land assembly holdout	Redevelopment için birkaç adjacent parcel’ın hepsi gerekiyorsa tek owner project surplus’ının büyük kısmını talep edebilir	Complementary parcels
E-619	Economics / Econometrics	Zoning-induced scarcity	Allowed density/use sınırı market demand’in istediği construction’ı engellerse land/housing scarcity rent’i doğabilir	Regulatory land-use constraint
E-620	Economics / Econometrics	Urban growth boundary	Development dışarı doğru belirli boundary’yi aşamazsa spatial quantity adjustment yerine prices/density başka margins üzerinden değişir	Hard geographic regulation
E-621	Economics / Econometrics	Matching with contracts	“A, B ile eşleşti” yetmez; pair hangi wage/terms/role contract’ıyla eşleştiğini de allocation’ın parçası yap	Bilateral contracts
E-622	Economics / Econometrics	Contract choice function	Agent’a available contract set ver; hangi subset’i birlikte kabul edeceğini rule olarak taşı	Set-valued choice
E-623	Economics / Econometrics	Contract substitutability	Yeni attractive contract geldiğinde previously rejected contract’ın tekrar desirable hale gelmemesi gibi substitution structure impose et	Matching existence conditions
E-624	Economics / Econometrics	Irrelevance of rejected contracts	Agent bir contract’ı larger menu’de reddettiyse, yalnız başka rejected contracts çıkarılınca choice’ının relevant kısmı değişmesin	Choice consistency
E-625	Economics / Econometrics	Law of aggregate demand in matching	Agent’ın opportunity set’i genişlediğinde chosen contracts sayısının sistematik olarak düşmemesini impose et	Discrete contract choice
E-626	Economics / Econometrics	Cumulative-offer process	Contracts sırayla önerilir; receiving side geçmiş offers’ın içinden currently chosen subset’i tutar, rejected contracts geri dönmez	Matching algorithm
E-627	Economics / Econometrics	Worker-optimal stable contract allocation	Stable allocations arasından workers’ın her biri için en iyi achievable stable contract configuration’ını seç	Stable set exists
E-628	Economics / Econometrics	Contract-to-salary representation	Bazı substitutable contract preferences’i multidimensional contracts yerine appropriately constructed salary choices olarak temsil et	Substitutes structure
E-629	Economics / Econometrics	Bilateral-contract trading network	Aynı firm upstream contracts’ta buyer, downstream contracts’ta seller olabilir; matching two-sided olmak zorunda değil	Trading network
E-630	Economics / Econometrics	Full substitutability in trading networks	Yeni purchase opportunity diğer purchases’a substitute ama sales’a complement gibi davranabilir; buying/selling choice beraber discipline edilir	Network contracts
E-631	Economics / Econometrics	Trail stability	Whole coalition yerine network boyunca sequentially executable blocking contract trail’lerine karşı stability iste	Trading network
E-632	Economics / Econometrics	Distributional constraints in matching	Individual capacity yetmez; accepted matches’in group/region/type totals’ına da constraints koy	Aggregate quotas
E-633	Economics / Econometrics	Regional quota	Birkaç institutions’ın toplam admissions/hiring capacity’sine ortak upper/lower limit koy	Cross-institution constraint
E-634	Economics / Econometrics	Reserve system	Capacity’nin bir kısmını particular category için priority reserve olarak ayır ama unused reserve’in başka category’ye geçip geçemeyeceğini rule ile belirle	Controlled priority
E-635	Economics / Econometrics	Flexible allotment	Organization içindeki divisions capacity’yi fixed quotas değil state-dependent shared allotment rule’u ile paylaşsın	Cross-division constraint
E-636	Economics / Econometrics	Slot-specific priority	Institution’daki different positions aynı applicants için different ranking/priorities taşısın	Heterogeneous slots
E-637	Economics / Econometrics	Couple/complementarity matching	İki agents placements’i package olarak değerlendirirse single-agent substitutability bozulabilir	Joint preferences
E-638	Economics / Econometrics	Complementarity-induced instability	Bir contract ancak another contract varsa değerliyse ordinary stable-allocation existence machinery çözülebilir	Complementary contracts
E-639	Economics / Econometrics	One-sided strategy-proof stable mechanism	Stability korunurken market’in bir side’ına truthful reporting incentive guarantee etmeye çalış	Restricted preferences
E-640	Economics / Econometrics	Pre-match investment response	Matching rule yalnız mevcut allocation’ı belirlemez; agents matching öncesinde skill/capacity investment incentives’ını da değiştirir	Endogenous pre-market investment
E-641	Economics / Econometrics	Merit-order dispatch	Available generators’ı marginal operating cost’a göre ucuzdan pahalıya sırala; demand karşılanana kadar sırayla aç	Dispatchable capacity
E-642	Economics / Econometrics	Marginal market-clearing price	Demand’i karşılamak için gereken son unit’in marginal offer/cost’u bütün cleared energy için benchmark price olabilir	Uniform-price electricity market
E-643	Economics / Econometrics	Inframarginal rent	Marginal unit’ten daha ucuz çalışan generator market price ile own variable cost arasındaki farkı kazanır	Common clearing price
E-644	Economics / Econometrics	Scarcity pricing	Capacity reserve çok daraldığında price yalnız marginal fuel cost’u değil scarce capacity’nin opportunity value’sini de taşır	Reliability scarcity
E-645	Economics / Econometrics	Missing-money problem	Price caps/market rules scarcity rents’i bastırırsa generators fixed capacity costs’ını recover edemeyebilir ve investment incentive eksilebilir	Capped energy market
E-646	Economics / Econometrics	Capacity market	Bugünkü MWh üretimine ek olarak future available capacity commitment’ına ayrı payment ver	Resource adequacy
E-647	Economics / Econometrics	Reliability option	Generator capacity payment alır ama spot price strike’ın üstüne çıktığında high-price gains’in bir kısmını geri verir	Capacity + scarcity hedge
E-648	Economics / Econometrics	Operating-reserve demand curve	Reserve quantity azaldıkça extra MW reserve’in reliability value’sini increasingly yüksek price ile encode et	Reserve scarcity
E-649	Economics / Econometrics	Energy–reserve co-optimization	Bir generator’ın aynı capacity’sini energy veya reserve için kullanma opportunity cost’unu jointly optimize et	Shared generation capacity
E-650	Economics / Econometrics	Unit commitment	“Kaç MW üret?”ten önce hangi generators physically on/off olacak kararını solve et	Binary operating state
E-651	Economics / Econometrics	Startup-cost nonconvexity	Generator zero’dan on state’e geçerken fixed cost öder; marginal energy cost full economic cost’u temsil etmez	Thermal generation
E-652	Economics / Econometrics	Minimum up/down time	Generator açıldıktan/kapatıldıktan hemen sonra tersine çevrilemez; state belirli süre locked kalır	Technical intertemporal constraint
E-653	Economics / Econometrics	Ramp constraint	Generator output’u bir interval’dan diğerine arbitrary hızlı değişemez	Rate-of-change capacity
E-654	Economics / Econometrics	Uplift / make-whole payment	Uniform energy prices generator’ın nonconvex startup/min-run cost’unu karşılamıyorsa off-market extra payment ile feasible dispatch’i compensate et	Nonconvex market clearing
E-655	Economics / Econometrics	Locational marginal pricing	Aynı anda aynı electricity commodity grid’in farklı nodes’unda congestion/loss nedeniyle farklı marginal value taşıyabilir	Transmission network
E-656	Economics / Econometrics	Congestion rent	Cheap source ile expensive constrained destination arasındaki nodal-price wedge scarce transmission capacity’nin value’sini üretir	Binding line constraint
E-657	Economics / Econometrics	Financial transmission right	Specific nodal-price congestion difference’ına linked financial claim ile transmission-price riskini hedge et	Nodal market
E-658	Economics / Econometrics	Negative electricity price	Inflexible/subsidized/avoid-shutdown generators output azaltmak yerine consumers’a effectively ödeme yapmayı tercih edebilir	Nonconvexity + oversupply
E-659	Economics / Econometrics	Renewable merit-order effect	Very-low-marginal-cost renewable output merit order’da pahalı marginal generators’ı dışarı iter ve clearing price’ı düşürebilir	Variable renewable supply
E-660	Economics / Econometrics	Renewable curtailment	Available zero/low-cost generation var ama transmission, minimum-generation veya system-balance constraint yüzünden output kabul edilemez	Grid feasibility
E-661	Economics / Econometrics	Cash-on-hand state	Household decision’ını total wealth değil bugün gerçekten spend edilebilen resources üzerinden condition et	Liquid resources
E-662	Economics / Econometrics	Buffer-stock saving	Future income shocks’a karşı consumption collapse etmesin diye liquid asset buffer tut	Income uncertainty
E-663	Economics / Econometrics	Precautionary saving	Future uncertainty yükseldikçe today consumption’dan vazgeçip more assets tutmanın option value’si artar	Risk + incomplete insurance
E-664	Economics / Econometrics	Target wealth ratio	Household buffer’ı sonsuza büyütmez; impatience ile precautionary motive balance olup target wealth/income zone oluşturabilir	Buffer-stock model
E-665	Economics / Econometrics	Borrowing-constraint kink	Desired borrowing constraint’in altına geçmek isterse optimization boundary’ye çarpar ve consumption rule slope değişebilir	Debt limit
E-666	Economics / Econometrics	Liquidity constraint	Total lifetime wealth yüksek olsa bile bugün borrow/convert edemiyorsan current spending limited olabilir	Intertemporal market incompleteness
E-667	Economics / Econometrics	Poor hand-to-mouth	Liquid wealth de total net wealth de düşük; transitory cash arrival consumption’ı güçlü değiştirebilir	Low financial wealth
E-668	Economics / Econometrics	Wealthy hand-to-mouth	House/retirement wealth yüksek ama liquid wealth çok düşük; asset-rich olup current cash-constrained kalabilirsin	Illiquid assets + transaction cost
E-669	Economics / Econometrics	MPC heterogeneity	Aynı \$1 transfer different households’ta farklı consumption response üretir	Heterogeneous liquidity/wealth/preferences
E-670	Economics / Econometrics	Liquidity-dependent MPC	Liquid buffer azaldıkça extra cash’in immediate spending probability’si/magnitude’i yükselir	Concave consumption rule
E-671	Economics / Econometrics	Illiquid-asset accumulation	Higher-return asset’a wealth koymak long-run return artırabilir ama short-run buffer’ı azaltabilir	Return–liquidity tradeoff
E-672	Economics / Econometrics	Liquid–illiquid portfolio split	Aynı total savings’in ne kadarı easy-access low-return, ne kadarı costly-access high-return assets’ta tutulacak seç	Two-asset household
E-673	Economics / Econometrics	Fixed portfolio-adjustment cost	Illiquid asset’a küçük miktarda girip çıkmak bile fixed cost taşıyorsa households adjustment’ı lumpy yapar	Nonconvex transaction cost
E-674	Economics / Econometrics	Emergency liquidity buffer	Rare income/expenditure shock olduğunda illiquid wealth satmadan expenditures’ı sürdürecek liquid reserve tut	Emergency risk
E-675	Economics / Econometrics	Consumption commitment	Housing, contracts veya recurring expenses gibi current consumption’ın bir kısmı short run’da kolay azaltılamaz	Predetermined expenditure
E-676	Economics / Econometrics	Durable-adjustment friction	Car/house/durable consumption continuous flow gibi ayarlanmaz; transaction cost nedeniyle intermittent large adjustment olur	Durable goods
E-677	Economics / Econometrics	Collateralized household borrowing	Household future income yerine pledgeable asset value’ye karşı daha kolay borrow edebilir	Collateral constraint
E-678	Economics / Econometrics	Credit-line drawdown	Income shock geldiğinde new loan negotiate etmek yerine pre-existing credit capacity’yi hızlı kullan	Precommitted borrowing option
E-679	Economics / Econometrics	Unused credit as liquidity insurance	Kullanılmayan borrowing capacity bugün cash değildir ama future adverse state’te spendable liquidity’ye dönüşebilir	Credible contingent credit
E-680	Economics / Econometrics	Debt-service liquidity burden	Balance-sheet net worth positive olsa bile mandatory near-term repayments cash flow’un büyük kısmını absorbe edip discretionary consumption’ı sıkıştırabilir	Payment timing
E-681	Economics / Econometrics	Rate-of-return regulation	Firm allowed capital base üzerinde belirlenmiş normal return kazanabilsin; prices buna göre ayarlansın	Regulated monopoly
E-682	Economics / Econometrics	Averch–Johnson effect	Allowed return on capital yeterince attractive ise firm socially efficient olandan fazla capital kullanmaya incentive kazanabilir	Rate-base regulation
E-683	Economics / Econometrics	Cost-of-service regulation	Regulated price actual/allowed operating costs + approved return’ü recover edecek şekilde kurulur	Observable accounting costs
E-684	Economics / Econometrics	Price-cap regulation	Firm’in individual costs’ını her period reimburse etme; allowed price path’a external cap koy	Incentive regulation
E-685	Economics / Econometrics	CPI/RPI-X mechanism	Price cap economy-wide inflation kadar artsın ama expected productivity factor $X$ kadar aşağı çekilsin	Regulatory benchmark
E-686	Economics / Econometrics	Regulatory lag	Firm bugün efficiency gain kazanır; regulator ancak future review’da prices’i reset eder, dolayısıyla temporary retained profit incentive yaratır	Periodic review
E-687	Economics / Econometrics	Yardstick competition	Firm’i kendi claimed costs’ıyla değil comparable firms’in performance’ıyla benchmark et	Multiple comparable regulated firms
E-688	Economics / Econometrics	Benchmark regulation	Efficient cost frontier/peer benchmark üret; payment/allowed revenue’yu relative efficiency’ye bağla	Cross-sectional comparison
E-689	Economics / Econometrics	Earnings-sharing regulation	Actual profit benchmark’ın çok üstüne çıkarsa excess gain’in bir kısmını consumers ile paylaş	Banded incentive contract
E-690	Economics / Econometrics	Sliding-scale regulation	Price/profit adjustment rule’u realized cost/performance ile kısmen link et; pure cost-plus ve fixed-price arasında risk paylaş	Intermediate incentive intensity
E-691	Economics / Econometrics	Access pricing	Monopoly bottleneck owner’ın rivals’a network/infrastructure access için hangi price’ı charge edeceğini düzenle	Essential network input
E-692	Economics / Econometrics	Efficient-component pricing mechanism	Access price’a direct incremental cost yanında incumbent’ın lost contribution/opportunity cost’unu da yansıt	Bottleneck access
